{'max_epoch': 15, 'last_iter': 0, 'finetune_lr': 0.0001, 'scratch_lr': 0.001, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'fp16': False, 'warm_up_epochs': 3, 'seed': 2020}

epochs:1, iter: 51, hinge1_f: 1.9907635, hinge2_f: 1.8264045, hinge3_f: 1.5465245, hinge1: 1.9390605, hinge2: 2.0575435, hinge3: 1.9432195, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 52, hinge1_f: 1.9894175, hinge2_f: 1.8332175, hinge3_f: 1.5476895, hinge1: 1.9388125, hinge2: 2.0583715, hinge3: 1.9422215, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 53, hinge1_f: 1.9904695, hinge2_f: 1.8289385, hinge3_f: 1.5450625, hinge1: 1.9342495, hinge2: 2.0555245, hinge3: 1.9424635, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 54, hinge1_f: 1.9947845, hinge2_f: 1.8320605, hinge3_f: 1.5455675, hinge1: 1.9349955, hinge2: 2.0608325, hinge3: 1.9484215, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 55, hinge1_f: 1.9925515, hinge2_f: 1.8321025, hinge3_f: 1.5462495, hinge1: 1.9396985, hinge2: 2.0665425, hinge3: 1.9555815, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 56, hinge1_f: 1.9989815, hinge2_f: 1.8447935, hinge3_f: 1.5477095, hinge1: 1.9401825, hinge2: 2.0717875, hinge3: 1.9572975, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 57, hinge1_f: 2.0016535, hinge2_f: 1.8388325, hinge3_f: 1.5498805, hinge1: 1.9417375, hinge2: 2.0717955, hinge3: 1.9579895, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 58, hinge1_f: 2.0076165, hinge2_f: 1.8448525, hinge3_f: 1.5519555, hinge1: 1.9434495, hinge2: 2.0739455, hinge3: 1.9619735, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 59, hinge1_f: 2.0060035, hinge2_f: 1.8441905, hinge3_f: 1.5502965, hinge1: 1.9463275, hinge2: 2.0733605, hinge3: 1.9584755, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 60, hinge1_f: 2.0045375, hinge2_f: 1.8489735, hinge3_f: 1.5528335, hinge1: 1.9541745, hinge2: 2.0724575, hinge3: 1.9567385, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 61, hinge1_f: 2.0053025, hinge2_f: 1.8482145, hinge3_f: 1.5535645, hinge1: 1.9496615, hinge2: 2.0694695, hinge3: 1.9524515, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 62, hinge1_f: 2.0095495, hinge2_f: 1.8580585, hinge3_f: 1.5540565, hinge1: 1.9564225, hinge2: 2.0702595, hinge3: 1.9553215, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 63, hinge1_f: 2.0120755, hinge2_f: 1.8532115, hinge3_f: 1.5532175, hinge1: 1.9586365, hinge2: 2.0658835, hinge3: 1.9614575, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 64, hinge1_f: 2.0124405, hinge2_f: 1.8574195, hinge3_f: 1.5562475, hinge1: 1.9583935, hinge2: 2.0686865, hinge3: 1.9635185, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 65, hinge1_f: 2.0108265, hinge2_f: 1.8569235, hinge3_f: 1.5591385, hinge1: 1.9604245, hinge2: 2.0699085, hinge3: 1.9628715, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 66, hinge1_f: 2.0109235, hinge2_f: 1.8501965, hinge3_f: 1.5575055, hinge1: 1.9585535, hinge2: 2.0703445, hinge3: 1.9619385, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 67, hinge1_f: 2.0113135, hinge2_f: 1.8480595, hinge3_f: 1.5571195, hinge1: 1.9616465, hinge2: 2.0722965, hinge3: 1.9644405, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 68, hinge1_f: 2.0145355, hinge2_f: 1.8468185, hinge3_f: 1.5563295, hinge1: 1.9573445, hinge2: 2.0740905, hinge3: 1.9647295, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 69, hinge1_f: 2.0145445, hinge2_f: 1.8540075, hinge3_f: 1.5591425, hinge1: 1.9578725, hinge2: 2.0753075, hinge3: 1.9681215, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 70, hinge1_f: 2.0151825, hinge2_f: 1.8517805, hinge3_f: 1.5571585, hinge1: 1.9524175, hinge2: 2.0746745, hinge3: 1.9720585, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 71, hinge1_f: 2.0155965, hinge2_f: 1.8455955, hinge3_f: 1.5559125, hinge1: 1.9509285, hinge2: 2.0721955, hinge3: 1.9695775, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 72, hinge1_f: 2.0156425, hinge2_f: 1.8504055, hinge3_f: 1.5565785, hinge1: 1.9512725, hinge2: 2.0766975, hinge3: 1.9692555, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 73, hinge1_f: 2.0172145, hinge2_f: 1.8508315, hinge3_f: 1.5548085, hinge1: 1.9497285, hinge2: 2.0755235, hinge3: 1.9680995, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 74, hinge1_f: 2.0135355, hinge2_f: 1.8519625, hinge3_f: 1.5547265, hinge1: 1.9501125, hinge2: 2.0782145, hinge3: 1.9747825, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 75, hinge1_f: 2.0119475, hinge2_f: 1.8538145, hinge3_f: 1.5585375, hinge1: 1.9516835, hinge2: 2.0769505, hinge3: 1.9730195, cla: 0.0000005, lr: 0.0000008
